Method,Original_snr,avg_new_snr
Equalization,0.0,27.98460742184593
Equalization,10.0,29.595388065369967
Equalization,20.0,30.940455480087795
Equalization,30.0,31.811042346001983
Equalization,40.0,32.39545330850928
Kalman,0.0,28.65738614575248
Kalman,10.0,30.33659633159674
Kalman,20.0,31.56716822101892
Kalman,30.0,32.33266832974509
Kalman,40.0,32.801588052796944
Spectral_gating,0.0,22.35552692756626
Spectral_gating,10.0,25.395011928978455
Spectral_gating,20.0,26.759646906373895
Spectral_gating,30.0,27.153485547069508
Spectral_gating,40.0,26.889691940775947
Wiener,0.0,17.508192798759325
Wiener,10.0,19.34032834157594
Wiener,20.0,21.440479987403474
Wiener,30.0,20.780250293806994
Wiener,40.0,19.470910379112688K